actual	greedy	beam_search	greedy_wer	greedy_cer	beam_search_wer	beam_search_cer
the town also hosts saint augustine's college run by the augustinian order	the ton also hosts sant ogustens college run by the ogustine an order	the town also host saint augustine's college run by the augustinian order	0.4166666666666667	0.14864864864864866	0.08333333333333333	0.013513513513513514
given its metropolitan location crowds are ferocious and competitive	yo may medsmi isol py tend locasor n crouds i am baristd as a one metta e	may i stay and later crouds marise as	1.8888888888888888	0.6911764705882353	1.0	0.7058823529411765
these were iambic but had irregular line length patterns and rhyme schemes	deis wue iambick but at erigila lin lemnth partons and rims ceans	dis we iambic but a regular line patterns and rims cans	0.8333333333333334	0.36486486486486486	0.5833333333333334	0.33783783783783783
training modules in industries institutions and heritage sectors provide major field level exposure	trane in modles in industriyes intituions and hary tage sectars provided magure of feld leval explosur	train in modes in industries institutions and heritage sectors provided mare of field level exposure	1.0769230769230769	0.2222222222222222	0.46153846153846156	0.09090909090909091
the countess of bedford was influential with the queen	the countess off bet fore the wass in flinsia with the quen	the countess off before he was influential with the queen	0.8888888888888888	0.2777777777777778	0.3333333333333333	0.1111111111111111
the empty bollards stretching into the distance particularly intrigued him	tthe emty borlade strechin mtals of distant patcticaler in triginiam	the empty bread stretching its distant particular in trim	1.0	0.40540540540540543	0.7	0.3108108108108108
grandam also sanctioned an online racing series through the racing simulator iracing dot com	genhom arol senchiona onandris an ss toas a reac in som ettr irince ind bacon	gen home rosanna andre and ses as in some letter irene in bacon	1.0	0.5652173913043478	1.0	0.6521739130434783
during practice piccolo struggles while sayers shines	grime practis pecor losd bragoled soil saars shain	grim practise per lost gold stars shine	1.1428571428571428	0.4716981132075472	1.0	0.4716981132075472
the pentastyle portico is highly unusual	the pen tust te ut yeuco esthaily ansare	the pen as you shall answer	1.1666666666666667	0.5	0.8333333333333334	0.55
he was later an unofficial counselor for president emil constantinescu	he wase later an un ofisheal canselae fore president amill constanteines cg	he was later an unofficial counselor for president emil constantine's	0.8	0.22857142857142856	0.1	0.04285714285714286
the bread bestowed upon them was called dolebread	the bred bestowede apon them was caled dobl bered	the bread bestowed upon them was called to breed	0.75	0.16326530612244897	0.25	0.08163265306122448
an esker was created when the glacier retreated due to climate warming	an esc was creted an theire clessed e creted jutoe clamiat dornning	an escort was created in the asserted joe came darning	0.8333333333333334	0.42857142857142855	0.6666666666666666	0.4
they calculated the return of the sun from the tropic of capricorn	theay coukullated the return of the soun from the tropecck ofe caperiecarn	they counted the return of the sun from the tropic of capricorn	0.5	0.19696969696969696	0.08333333333333333	0.07575757575757576
she was replaced by haruna kawaguchi five days after being taken into custody	she was we pleaysed b aerimarc alomnqwoishe fie days after being tacon into custidie	she was pleased by a remark another five days after being taken into castile	0.6153846153846154	0.37662337662337664	0.38461538461538464	0.2597402597402597
she has developed and championed cell therapy protocols in hospitals across italy	she has develupd anchampond solterypuportrces in hospitales i ros itily	she has developed an champion sultry porters in hospitals i cross italy	0.8333333333333334	0.2962962962962963	0.5833333333333334	0.2345679012345679
fishing and boating is available on both crom pond and mohansic lake	fishing and boutsing is a waleabre on both rompornd and mr hadsie lck	fishing and boating is a valuable on both compound and more had i	0.6666666666666666	0.23529411764705882	0.5833333333333334	0.23529411764705882
my father was angry because he had to attend the official gatherings	miy fadowas engld le postlye had fo atunder of eeled avalli	for england she had for a thunder of eld	0.9166666666666666	0.5441176470588235	0.9166666666666666	0.6617647058823529
john became his enemy after a childhood quarrel during a game of chess	gone begem his enimmy aofter a child hod qrararbb during a gam of chest	one became his enemy after a child hold war during a game of chess	0.6923076923076923	0.24285714285714285	0.3076923076923077	0.14285714285714285
in four years the deficiency amounted to one whole day	in frrs the difisiont amonshe to in wane holiday	in paris the defiant amounted to in one holiday	0.7	0.42592592592592593	0.6	0.35185185185185186
this was the first appearance of the name pierrefonds	this was the ferst apene of the name piofon	this was the first prince of the name on	0.3333333333333333	0.22641509433962265	0.2222222222222222	0.2641509433962264
pradier was born in hanoi french indochina	privel was bornein annorey french and doshanea	i was born nor french and sane	0.8571428571428571	0.38095238095238093	0.7142857142857143	0.42857142857142855
once the subject is properly placed wavefront correction and imaging takes place	ans the subject is properly pleased wheir frome corection imagin takes plecs	on the subject is properly placed where from correction man takes pless	0.5833333333333334	0.25	0.5	0.2375
